iteration,mean_episode_reward,std_episode_reward,min_episode_reward,max_episode_reward,mean_episode_length,ppo_loss,approx_kl,clip_fraction,theta_loss,mean_reward,mean_return,std_return,phase
0,-261.8025666866878,74.30044583923193,-370.3804938596368,-103.05333914288214,1000.0,-0.017144047435088332,0.011168870858990463,0.12765724522292993,3.890286604614015,-0.26180256668668783,-23.79150462699098,13.295893224396625,1
1,-189.23586751903505,43.062458946163986,-253.8822936438793,-123.55804956488248,1000.0,-0.019096114062318568,0.008871912797260436,0.13807722929936306,3.9267526943972157,-0.1892358675190351,-16.97991335617877,11.1490673292211,1
2,-176.05594545840873,80.08680635879105,-331.7638238334558,-79.00105733393559,1000.0,-0.01779600489160912,0.012927498568774788,0.1460390127388535,3.9599508466234634,-0.1760559454584088,-15.995134065318533,14.39269014483179,1
3,-136.22502486785743,75.64911355351826,-242.02738954025463,-37.95967399299275,1000.0,-0.01860161361960801,0.009586030463124536,0.1375796178343949,3.913213694171541,-0.13622502486785731,-11.614656815581126,12.744533304499237,1
4,-95.75092545395738,55.056841239071204,-172.337288799808,9.270283310896241,1000.0,-0.020879914088969588,0.0125349064849934,0.1573546974522293,3.955011275771317,-0.09575092545395739,-8.322278521770784,11.20713100928224,1
5,-54.335019168522194,70.82840285266876,-112.03696488565443,126.14572540048063,1000.0,-0.02075528534675005,0.015663327286197883,0.1662420382165605,4.090627016231513,-0.05433501916852221,-4.0865717328713105,13.047550472384026,1
6,8.149421485525783,54.62501628294171,-64.05534485494219,100.02421407974504,1000.0,-0.020782218721641856,0.011540195080125408,0.1753483280254777,4.014890922406677,0.008149421485525794,1.3649848887014655,9.553337692270258,1
7,27.470382522199817,32.88279771002505,-11.671310887213487,99.41880747345766,1000.0,-0.021990065215523266,0.015319953844615609,0.18369824840764332,3.9603772813347495,0.027470382522199827,3.2855923808989087,12.282129374877524,1
8,64.27350440001335,49.019373971411646,-22.288180940287564,158.6389853750718,1000.0,-0.02317605006099222,0.016329986908158678,0.18930135350318472,4.116934553225329,0.06427350440001334,6.857060636926127,11.872687354197206,1
9,133.31974848502668,73.57185784594033,8.0895966121131,296.637466548174,1000.0,-0.021801690563298524,0.016260954308187126,0.19409832802547772,4.12296493539385,0.13331974848502667,13.280693326861558,14.720597970429967,1
10,140.38587680303434,116.07919691995697,-75.93292835771484,317.65724950502346,1000.0,-0.025344262203605028,0.019086198447046766,0.21990445859872612,4.414158385726297,0.1403858768030343,13.31104136339424,16.28885795277893,1
11,199.69842866959945,62.35650322474261,102.58189291974612,333.53650967500374,1000.0,-0.02335623157252172,0.018390019633065743,0.21390326433121018,4.257568652159089,0.19969842866959953,18.741027619475307,13.862146443964061,1
12,235.61072111771037,84.73333519206841,153.20004386977476,434.3890395096708,1000.0,-0.025398311053942534,0.022635560015299518,0.21960589171974523,4.293585325198569,0.23561072111771042,22.20124041991211,15.85650547857313,1
13,244.33718457183818,81.71728702351459,86.99574668646716,335.7764499708317,1000.0,-0.02760537030163464,0.03453139715893253,0.2506170382165605,4.637721935654901,0.24433718457183815,23.367106743814137,19.16292169330519,1
14,319.95713604103435,102.84074540681833,65.51524762279267,433.1045813987958,1000.0,-0.02892092516776293,0.03470874717399763,0.2557921974522293,4.787050419400452,0.3199571360410343,30.3299020650977,19.06082150692945,1
15,355.9811324293032,101.86919768193056,240.21297812442697,565.2071632015723,1000.0,-0.029432018165280866,0.04651817507496116,0.2638535031847134,4.671571619039888,0.35598113242930335,33.27929040257096,19.98025392036137,1
16,300.7903189719025,113.40274613334903,93.22835655720526,418.09756225000086,1000.0,-0.04986287669581213,0.207385267364751,0.35976313694267514,5.155450060868719,0.3007903189719025,27.89344444536492,23.967036521377654,1
17,399.69513932258957,127.91210588122718,170.17686860486492,605.1022453635851,1000.0,-0.03951518108836927,0.18944098152410072,0.3179936305732484,4.984437626790089,0.3996951393225896,37.495034040147125,26.266413664542068,1
18,416.6152935877183,150.10909367121792,120.92611382972953,620.4594007361325,1000.0,-0.05389716358392672,0.35610292272132105,0.3834295382165605,5.205572032776608,0.4166152935877183,38.65655342996734,24.509750967615147,1
19,303.70447947999367,171.94914513975743,47.91139670207897,582.7237199899081,1000.0,-0.0719457102562805,0.8792281002565554,0.4913216560509554,5.4681126211858855,0.3037044794799936,27.38149975183201,27.359584849523262,1
20,354.80918982923396,175.9498833328431,10.860110525231413,546.0748859573276,1000.0,-0.07285533521893867,1.208777836800381,0.5071556528662421,5.719028737134995,0.3548091898292339,32.69139751305024,28.763358843200717,1
21,294.9224445720655,170.9175597059194,-80.68564915726002,548.0139776037362,1000.0,-0.07709410614185747,1.9356956619176136,0.5390027866242039,6.226250482668543,0.29492244457206557,26.745743031313694,30.57346005633024,1
22,269.4112868366195,144.24675134136982,12.138671454341402,421.9737600851559,1000.0,-0.07451450668726188,2.4954549057848134,0.5758558917197453,6.325255761176917,0.2694112868366195,23.992905110581212,33.968822400739455,1
23,355.99312916645056,122.5537982536593,96.14755377100552,538.6000500527892,1000.0,-0.08068870232191387,2.66085695620555,0.5701930732484076,6.491212585473516,0.3559931291664506,32.1090752004157,30.530069547176865,1
24,326.26996694965925,167.74723633500773,-29.024768861531566,610.3937294284884,1000.0,-0.07768566443371308,3.7253069035566537,0.6140625,6.918943427019059,0.3262699669496592,29.019972867856566,33.412931809443315,1
25,323.99723567837896,188.28126555806972,49.835192085444184,578.2330131692834,1000.0,-0.08233020623113699,4.000553512801031,0.6017615445859873,6.635609375595287,0.3239972356783789,29.314325624940633,41.22447583148548,1
